#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
sll1762|114	1	72	1	71	98.6111	0.986111	31	23
sll1762|52	1	72	1	72	100	1	32.1	3
sll1763|58	1	73	1	73	100	1	32.9	24
sll1763|76	1	71	1	71	100	1	32.6	0
sll1761|253	1	75	1	75	100	1	29.6	3
sll1761|324	1	71	2	71	100	1	33.2	3
sll2002|125	1	73	2	73	100	1.9863	33.5	8
rpoD2|16	1	73	1	73	100	2	31.4	23
rpoD2|40	1	72	1	72	100	1	32.2	37
rpoD2|68	1	74	1	74	100	1	31.5	3
trpD|117	1	76	1	76	100	1	32.5	23
trpD|38	1	75	1	74	98.6667	0.986667	31.8	42
trpD|19	1	76	2	75	98.6842	0.986842	32.4	38
trpD|67	1	76	1	76	100	2	32.6	3
sll1769|131	1	76	1	76	100	1	31.4	42
sll1769|82	1	74	3	73	98.6486	0.986486	33.1	26.7
hpcE|5	1	76	4	76	100	3	32.4	6.75
hpcE|23	1	72	1	72	100	4	33	0
hpcE|59	1	71	1	71	100	1	33.2	0
hpcE|127	1	75	2	73	97.3333	0.973333	33.2	0
slr0888|42	1	71	1	71	100	2	33.1	23
slr0888|124	1	71	1	71	100	1	33.9	8
slr0888|111	1	73	1	73	100	1	33.4	23
slr0888|67	1	73	2	73	100	1	32.6	1.5
slr0882|127	1	74	1	74	100	1.98649	31.4	23
slr0882|56	1	72	1	71	98.6111	0.986111	33.3	23
slr0881|79	1	76	3	76	100	1.97368	32.1	15.3
slr0881|121	1	74	1	74	100	2	32.1	23
slr0887|125	1	73	1	73	100	1	32.8	0
slr0885|10	1	74	1	74	100	1	32.8	24
slr0885|56	1	75	1	73	97.3333	0.973333	32.1	8
sll1304|226	1	75	1	75	100	1	32.5	0
sll1304|83	1	72	2	72	100	1	31.6	1.5
sll1305|49	1	74	1	74	100	1.95946	31.9	3
sll1305|25	1	73	2	72	98.6301	0.986301	33	1.5
sll1306|81	1	73	1	73	100	1.9726	32.1	3
sll1306|55	1	73	1	72	98.6301	0.986301	30.2	0
sll1307|71	1	71	1	71	100	1	33.1	39
sll0877|85	1	76	1	76	100	1	32.1	23
sll1783|108	1	76	1	76	100	1	31.8	27
sll1783|225	1	76	1	75	98.6842	0.986842	32.1	0
sll1308|200	1	76	2	76	100	1	32.1	5.5
sll1308|49	1	71	1	71	100	2	31.4	23
sll1308|100	1	72	2	72	100	1	33.1	32.5
sll1308|223	1	73	1	73	100	2	33.1	8
sll1785|217	1	76	2	76	100	1	33.2	3
sll1785|123	1	74	2	74	100	1.98649	31.8	13
sll1785|190	1	73	1	73	100	1.9726	33.3	26
sll0872|85	1	74	3	74	100	1	31.4	29
slr0865|74	1	76	1	76	100	3	31.2	3
slr0867|89	1	75	1	75	100	1	32.8	0
slr0867|146	1	74	1	73	98.6486	0.986486	31.5	3
slr1735|188	1	73	1	71	97.2603	0.972603	30.4	3
ssl3291|78	1	73	3	73	100	1	32.2	1
ssl3291|29	1	71	1	71	100	3	32.7	23
slr0869|75	1	73	1	72	98.6301	0.986301	31.7	3
slr0869|15	1	73	1	73	100	1	32.1	23
glgX2|50	1	71	1	71	100	1	32.7	8
glgX2|109	1	74	1	74	100	1	31.3	23
psbC|178	1	74	1	74	100	1	30.7	42
mutS2|180	1	74	1	74	100	1	32.4	22
mutS2|138	1	76	2	76	100	1	33	0
hofG|432	1	75	1	75	100	1.97333	32.8	3
nth|77	1	73	1	72	98.6301	0.986301	30.6	0
lmbP|115	1	71	7	71	100	1	32.5	3.29
lmbP|11	1	71	1	71	100	7	33.1	0
psbH|79	1	75	2	74	98.6667	0.986667	32.4	21
psbH|66	1	72	1	71	98.6111	1.97222	32.7	23
rimI|39	1	76	7	76	100	1	32.9	16.9
sll1160|74	1	74	2	74	100	6.97297	31.5	11.5
sll1160|142	1	71	1	71	100	2	32.8	8
sll1160|12	1	74	1	74	100	1	32.2	3
sll1161|139	1	76	5	75	98.6842	0.986842	31.5	5.2
sll1163|281	1	71	1	71	100	5	32.6	0
sll1163|171	1	73	1	73	100	1	31.5	3
sll1163|189	1	71	1	71	100	1	33.3	42
sll1164|91	1	71	1	71	100	1	28.8	24
sll1164|160	1	76	3	76	100	1	33	16
cpcE|73	1	75	1	75	100	3	31.7	8
cpcE|133	1	73	3	71	97.2603	0.972603	32.1	13.3
sll0844|58	1	75	1	75	100	2.97333	31.6	3
sll0844|180	1	72	1	72	100	1	33	8
ssl3829|68	1	75	1	74	98.6667	0.986667	32.4	24
ssl3829|112	1	73	1	73	100	1	33.4	8
pstS|71	1	75	1	75	100	1	32	23
nblA2|107	1	73	1	73	100	1	34.4	8
ctaE2|124	1	74	2	74	100	1.98649	28.4	19.5
ssr2549|11	1	76	1	76	100	1	32	0
ssr2549|52	1	72	1	71	98.6111	0.986111	31.5	8
ssr2549|34	1	72	2	71	98.6111	0.986111	32.3	1.5
pstB|51	1	73	1	73	100	1.9863	33	3
pstB|126	1	74	2	72	97.2973	0.972973	33	11.5
pstA|111	1	74	1	74	100	1.98649	32.8	42
pstA|82	1	73	1	72	98.6301	0.986301	31.9	23
pstA|13	1	76	1	76	100	1	32.5	8
sll1956|178	1	74	23	74	100	1	33	7.57
sll1951|85	1	72	23	72	100	23.9861	32.2	36.1
sll1951|106	1	76	9	76	100	21.9868	32	14.8
sll1951|12	1	73	18	73	100	8.9863	33.4	16.4
sll1951|46	1	75	9	75	100	17.9067	31.5	17.8
sll1951|61	1	75	2	75	100	9.94667	31.3	2.5
sll1950|86	1	76	2	75	98.6842	0.986842	30.6	15.5
aspS|55	1	74	3	74	100	1.98649	31.8	6.33
aspS|104	1	73	1	73	100	3	32.2	23
ycf44|56	1	71	1	71	100	1	31.8	0
menA|34	1	74	1	74	100	1	32.3	8
menA|4	1	71	1	71	100	1	30.8	0
menA|16	1	73	1	73	100	1	32.8	0
menA|75	1	76	1	74	97.3684	0.973684	30.4	39
ilvG|48	1	71	4	71	100	1	33.9	32
slr1261|28	1	76	2	76	100	4	32.2	32.5
slr1261|159	1	73	1	73	100	2	32.6	3
slr1263|7	1	76	1	76	100	1	31.8	0
lacG|46	1	73	1	72	98.6301	0.986301	33.9	23
slr1513|61	1	71	7	71	100	1	33	15.1
slr1513|109	1	74	1	74	100	6.98649	31.9	0
slr1513|79	1	71	1	71	100	1	33.7	3
slr1513|9	1	72	1	71	98.6111	0.986111	33	0
slr0264|45	1	71	1	71	100	1	33.8	24
slr0264|85	1	71	2	71	100	1	33.9	12
slr0265|736	1	75	1	75	100	2	31.5	8
slr0262|195	1	71	1	71	100	1	32.7	23
slr0263|19	1	74	1	74	100	1	32.5	3
slr0263|193	1	74	2	74	100	1	32	23.5
slr1515|132	1	74	1	74	100	1.98649	32.6	23
sll1424|98	1	75	1	75	100	1	32.7	0
sll1426|29	1	73	1	73	100	1	33.9	23
sll1426|108	1	75	1	74	98.6667	0.986667	32.4	23
sll1426|73	1	74	1	74	100	1	31.5	24
sll1158|132	1	73	1	73	100	1	30.9	23
sll1158|101	1	75	1	75	100	1	33.3	0
sll1155|104	1	76	2	75	98.6842	0.986842	30.3	8
ssr2898|19	1	72	1	72	100	1.98611	33.3	24
sll1156|217	1	72	2	72	100	1	30	12
sll1151|34	1	75	1	75	100	2	32.3	8
sll1151|10	1	72	1	71	98.6111	0.986111	32.1	3
sll1150|112	1	72	1	72	100	1	33.3	8
sll1150|189	1	71	1	71	100	1	33.8	3
sll1150|157	1	75	1	74	98.6667	0.986667	31.1	8
katG|93	1	75	1	74	98.6667	0.986667	32.4	0
katG|72	1	73	1	73	100	1	31	8
slr2062|58	1	76	1	75	98.6842	0.986842	31.9	3
sll1236|87	1	74	1	74	100	1	30.1	23
sll1236|76	1	71	1	71	100	1	32.7	8
sll1236|15	1	74	1	74	100	1	32.1	0
sll1236|112	1	73	2	73	100	1	31.4	4
slr2060|58	1	73	1	73	100	1.9863	33.5	8
hemK|70	1	73	1	73	100	1	34.2	23
plsX|155	1	72	1	72	100	1	33.3	8
plsX|128	1	74	1	74	100	1	33	42
sll0242|95	1	72	2	72	100	1	33.5	13.5
sll0242|144	1	76	3	76	100	2	31.7	10
sll0242|115	1	71	1	71	100	3	32.8	8
sll1239|304	1	75	2	75	100	1	31.1	15.5
slr1508|190	1	73	1	73	100	2	33.6	24
slr1508|116	1	76	7	75	98.6842	0.986842	32.4	16.9
slr1508|67	1	75	1	75	100	6.97333	32	3
slr1508|135	1	71	1	71	100	1	26.8	27
slr2079|127	1	74	2	73	98.6486	0.986486	33.9	15
slr2079|51	1	76	3	76	100	2	32.2	8
ureA|97	1	73	8	73	100	3	33.1	17.5
ureA|139	1	73	1	73	100	8	32	0
ssl3769|46	1	75	1	75	100	1	31.5	24
sll1954|53	1	74	1	73	98.6486	0.986486	32.4	0
sll1954|4	1	75	1	75	100	1	31.6	0
sll1954|94	1	72	1	72	100	1	32.5	23
hemB|71	1	74	1	72	97.2973	0.972973	32.4	0
rbcR|88	1	74	1	74	100	1	30.1	8
slr1505|151	1	71	1	71	100	1	34.3	23
slr1505|13	1	72	1	72	100	1	33.6	8
slr1506|147	1	74	4	74	100	1	31.4	6
slr1506|71	1	73	1	73	100	4	32.5	8
slr1506|85	1	71	2	71	100	1	32.2	5.5
slr1507|125	1	75	1	74	98.6667	1.97333	32.6	24
drgA|100	1	71	1	71	100	1	33.6	23
drgA|50	1	75	1	75	100	1	31.5	0
shc|64	1	74	1	74	100	1	32.9	23
shc|22	1	71	2	71	100	1	33.6	25
fabG2|40	1	72	1	72	100	2	31.5	23
fabG2|208	1	76	1	76	100	1	31.2	8
kpsM|237	1	73	1	73	100	1	32.3	23
sll0254|88	1	73	4	73	100	1	33.1	18
sll0245|47	1	74	2	74	100	4	32.4	16
sll0245|73	1	72	2	72	100	2	32.4	13.5
sll0245|88	1	75	1	75	100	2	33.1	3
sll0245|58	1	71	2	71	100	1	33.5	3
hisC2|77	1	73	1	72	98.6301	1.9726	33.5	23
sll0252|99	1	73	2	72	98.6301	0.986301	31.7	23
sll0252|16	1	74	1	74	100	2	32.3	23
sll1973|74	1	74	1	74	100	1	31.7	23
sll1973|62	1	74	1	74	100	1	32.5	8
sll0237|205	1	73	1	73	100	1	31.8	0
sll0237|58	1	73	1	73	100	1	31.9	4
sll0236|151	1	71	1	71	100	1	33.6	0
dcoH|26	1	72	1	72	100	1	32.6	8
proS|30	1	72	1	71	98.6111	0.986111	31.6	8
ntcA|27	1	72	1	72	100	1	31	23
ntcA|114	1	75	1	74	98.6667	0.986667	33.1	3
ntcA|199	1	73	2	73	100	1	32.7	24
ntpJ|10	1	75	1	75	100	1.98667	31.2	0
ntpJ|46	1	75	1	75	100	1	32.3	39
tyrA|246	1	74	1	71	95.9459	0.959459	33.7	16
ssr3571|199	1	76	1	76	100	1	33.3	8
cobA|115	1	75	1	75	100	1	32.2	3
cobA|139	1	73	1	73	100	1	31.8	0
ctaD2|38	1	73	1	72	98.6301	0.986301	32.4	38
slr2099|16	1	71	1	71	100	1	30.3	23
slr2098|12	1	76	1	76	100	1	32.5	23
ssr2551|59	1	72	5	72	100	1	31.9	18.6
ssr2551|41	1	74	2	74	100	4.97297	32.2	23.5
slr2131|142	1	75	2	75	100	2	31.9	32.5
slr2131|37	1	73	2	73	100	2	32	23.5
slr2131|238	1	76	1	76	100	2	32.2	8
slr2131|118	1	73	1	73	100	1	33.7	8
sll1609|115	1	73	1	73	100	1	32.3	3
glbN|31	1	75	1	74	98.6667	0.986667	32.2	8
trxA2|88	1	75	1	74	98.6667	0.986667	29.2	3
trxA2|5	1	73	1	73	100	1	33.4	42
sll0249|19	1	71	1	71	100	1	32.1	23
sll0240|91	1	76	1	76	100	1	32.7	42
sll0240|28	1	74	1	74	100	1	32.3	23
sll0240|106	1	76	3	76	100	1	32.2	11.3
sll0241|232	1	74	1	74	100	2.98649	31.2	3
kdpB|7	1	72	1	72	100	1	33.9	0
sll1606|175	1	75	1	74	98.6667	0.986667	29.2	23
slr2000|77	1	71	1	71	100	1	33.8	33
slr2000|52	1	74	1	74	100	1	32.6	0
slr2000|27	1	76	1	76	100	1	30.8	8
slr2000|40	1	74	1	73	98.6486	0.986486	33.2	14
slr2002|105	1	72	2	72	100	1	33	23
slr2003|85	1	76	1	76	100	1.98684	31.8	24
slr2004|184	1	76	3	76	100	1	33.2	25
slr2004|301	1	75	1	75	100	3	32	3
slr1523|196	1	76	1	76	100	1	33.3	23
slr1520|20	1	71	2	71	100	1	30.3	13.5
sodB|175	1	76	1	76	100	1.98684	31.8	26
sodB|48	1	74	1	72	97.2973	0.972973	32.7	3
slr2127|4	1	76	1	76	100	1	32.2	42
slr2123|22	1	71	3	71	100	1	29.3	28.3
slr2121|42	1	76	1	76	100	2.97368	31.8	23
slr2120|145	1	72	2	72	100	1	31.6	8
sll1157|154	1	74	2	74	100	2	31.5	4
sll1611|127	1	72	1	72	100	2	30.7	24
sll1595|96	1	71	1	71	100	1	32.7	3
pds|260	1	75	1	75	100	1	32.7	8
pds|16	1	71	1	71	100	1	32.8	0
pds|31	1	72	1	72	100	1	33.5	3
sll0253|293	1	74	5	73	98.6486	0.986486	30.1	8
slr1512|164	1	72	1	72	100	5	32.9	8
ssl0438|200	1	73	1	73	100	1	33.2	24
kdpA|41	1	73	2	73	100	1	34	33
kdpA|55	1	75	1	75	100	2	31.3	0
ilvB|75	1	76	1	76	100	1	32.2	42
slr2117|451	1	75	2	72	96	0.96	33.3	25
apt|137	1	76	1	76	100	2	31.9	3
ssr2194|28	1	73	1	73	100	1	32.1	3
ssr2194|46	1	71	2	71	100	1	31.8	0
sll1995|33	1	71	1	71	100	2	30.5	23
sll1995|236	1	73	1	71	97.2603	0.972603	33.2	8
slr1717|130	1	73	1	73	100	1	28.6	42
prmA|178	1	72	1	72	100	1	34	23
prmA|118	1	76	1	76	100	1	32.8	23
guaB|151	1	72	1	72	100	1	32.4	3
ssl3127|110	1	73	3	73	100	1	33.1	18.3
sll1586|42	1	74	1	74	100	2.98649	31.7	3
sll1586|136	1	72	1	72	100	1	32.1	3
sll1586|14	1	71	2	71	100	1	33.5	4
dfp|141	1	73	1	73	100	1.9863	33.2	39
norA|127	1	73	1	72	98.6301	0.986301	33	3
sll1411|73	1	76	1	76	100	1	31.9	0
sll1411|12	1	71	2	71	100	1	30.3	3
sll1411|200	1	76	5	74	97.3684	1.94737	30.8	2.8
apcC|177	1	71	1	71	100	5	32.3	0
sll1982|546	1	72	1	72	100	1	33.1	26
apqZ|128	1	71	1	71	100	1	34	8
sll1988|64	1	76	2	76	100	1	32.2	9.5
sll1415|55	1	75	1	75	100	1.98667	31.1	0
isiB|34	1	73	1	73	100	1	33.8	39
isiA|124	1	72	1	71	98.6111	0.986111	32.7	27
isiA|22	1	76	1	76	100	1	29.8	3
isiA|88	1	76	1	76	100	1	32.2	0
serA|201	1	74	1	73	98.6486	0.986486	32.9	0
serA|43	1	74	6	73	98.6486	0.986486	33.8	2.33
slr2101|13	1	71	1	71	100	6	32.5	8
slr2101|25	1	73	1	73	100	1	33.1	0
fabZ|116	1	73	1	73	100	1	32.3	8
slr2105|85	1	71	1	71	100	1	32.1	8
slr2104|46	1	73	1	73	100	1	32.3	3
slr2104|79	1	75	1	74	98.6667	0.986667	31.2	3
slr1726|97	1	71	2	71	100	1	32.1	11.5
slr1726|113	1	73	2	73	100	1.9863	31.5	3
sll1906|22	1	71	1	71	100	2	32.9	0
sll1906|47	1	72	2	72	100	1	31.8	0
ndhH|92	1	72	1	72	100	1.97222	32.3	0
ndhH|4	1	71	1	71	100	1	33.7	0
ndhH|48	1	71	1	71	100	1	31.7	0
sll1905|142	1	74	2	73	98.6486	0.986486	32.3	13
sll1902|146	1	73	1	73	100	1.9863	33.7	0
aroB|57	1	76	1	75	98.6842	0.986842	31.8	0
sll1428|229	1	71	1	71	100	1	32.8	0
kpsT|30	1	74	2	73	98.6486	0.986486	33.3	15.5
slr2080|310	1	74	1	74	100	1.98649	32.4	8
pma1|8	1	75	1	74	98.6667	0.986667	31.9	0
hglK|29	1	73	1	73	100	1	33.5	0
hglK|96	1	71	1	71	100	1	32.6	23
apcB|94	1	74	1	72	97.2973	0.972973	31.9	23
slr2084|174	1	74	1	74	100	1	30.9	23
slr2084|339	1	76	3	75	98.6842	0.986842	32.5	2.67
suhB|83	1	72	1	72	100	2.98611	31.5	3
slr2119|203	1	76	1	74	97.3684	0.973684	28.1	0
slr2059|98	1	73	2	72	98.6301	0.986301	32.4	3.5
slr2059|27	1	75	1	75	100	1.98667	32.1	24
slr2059|85	1	74	1	73	98.6486	0.986486	33.8	0
slr1727|73	1	75	1	75	100	1	31.3	3
leuB|91	1	71	2	71	100	1	33	22.5
slr2115|1100	1	71	1	71	100	2	32.8	3
ssl2749|153	1	76	1	76	100	1	33.1	0
ssr3402|213	1	73	6	72	98.6301	0.986301	33	4.5
thdF|31	1	72	2	72	100	6.95833	32.2	12
thdF|103	1	74	1	73	98.6486	0.986486	33.2	39
thdF|45	1	75	2	75	100	1	29.8	5.5
slr1324|64	1	76	1	76	100	1.97368	32	0
ssl0461|98	1	72	1	72	100	1	30.2	0
ssl0461|85	1	75	1	74	98.6667	0.986667	30.7	23
slr1246|477	1	71	1	70	98.5915	0.985915	29.8	0
slr1246|407	1	76	1	75	98.6842	0.986842	32.7	4
slr1245|265	1	72	1	72	100	1	29.4	0
ssr2912|154	1	76	1	75	98.6842	0.986842	29.9	23
ssl3692|127	1	74	1	73	98.6486	0.986486	33.6	42
slr1998|67	1	76	2	75	98.6842	0.986842	32.9	13
slr1992|9	1	76	1	76	100	1.98684	32.2	24
slr1992|125	1	71	1	71	100	1	32.5	8
slr1990|53	1	75	1	75	100	1	29.9	0
slr1718|100	1	72	1	72	100	1	30.4	3
slr1718|77	1	74	1	73	98.6486	0.986486	32	39
slr1718|36	1	71	2	71	100	1	27.9	19.5
nblA|115	1	76	1	76	100	2	31.8	8
slr1712|40	1	73	1	72	98.6301	0.986301	32.5	23
slr0271|31	1	75	1	74	98.6667	0.986667	33	8
slr0271|102	1	74	1	74	100	1	32.1	42
cyaA2|139	1	73	1	73	100	1	33.5	3
slr0273|18	1	76	1	76	100	1	32.4	23
slr0272|46	1	71	1	71	100	1	33.5	3
slr0272|78	1	74	2	74	100	1	31.7	1.5
sll1960|47	1	71	1	71	100	2	33.8	3
sll1960|85	1	74	3	72	97.2973	0.972973	32.5	8
sll1961|53	1	73	1	73	100	2.9863	32.9	8
sll1961|70	1	72	4	72	100	1	32.7	7.75
sll1961|37	1	73	1	73	100	3.9863	33.6	23
sll1961|81	1	71	1	71	100	1	33.3	0
spoT|21	1	74	1	74	100	1	33.2	24
glpX|140	1	71	1	71	100	1	31	0
ssr2554|65	1	75	1	75	100	1	30.6	0
ssr2554|107	1	73	1	72	98.6301	0.986301	29.9	23
slr1258|7	1	73	1	71	97.2603	0.972603	32.3	8
slr1258|220	1	73	1	73	100	1	33.3	23
slr1259|59	1	72	1	72	100	1	32.3	38
slr2122|22	1	74	1	74	100	1	31.1	3
thl|61	1	76	1	76	100	1	31.3	0
slr2092|83	1	73	1	73	100	1	33.1	8
slr2092|69	1	74	1	73	98.6486	0.986486	30.6	8
slr2092|100	1	72	1	72	100	1	29.2	24
slr1253|10	1	72	1	72	100	1	31.3	22
slr1253|135	1	75	1	75	100	1	31.6	23
topA|4	1	75	4	75	100	1	32.7	22
topA|92	1	76	2	76	100	3.96053	32.8	4
topA|25	1	73	1	72	98.6301	1.9726	31.7	27
slr1257|87	1	73	1	73	100	1	33.5	23
slr1257|98	1	76	1	76	100	1	31.5	0
slr1257|196	1	74	2	74	100	1	32.2	12
sll0804|7	1	71	1	71	100	2	32.4	0
rpiB|78	1	75	1	75	100	1	30.5	0
rpiB|91	1	72	2	71	98.6111	0.986111	33	3.5
slr1982|100	1	72	1	72	100	1.98611	30.1	23
slr1983|72	1	71	2	71	100	1	33.1	23.5
ffh|175	1	74	3	74	100	2	32.1	23.7
ffh|134	1	75	1	75	100	3	31.9	24
sll1895|70	1	74	1	74	100	1	33.2	3
sll1895|121	1	75	2	75	100	1	32.4	15.5
sll1897|163	1	73	3	73	100	1.9863	33	10.7
sll1891|58	1	72	1	72	100	2.98611	32	23
sll1892|49	1	75	1	75	100	1	30.2	8
sll1892|66	1	74	1	74	100	1	31.2	8
pcnB|75	1	73	2	73	100	1	32.3	5.5
pcnB|106	1	72	1	72	100	2	32.7	0
tsf|46	1	73	1	72	98.6301	0.986301	32.4	23
hoxY|58	1	71	1	71	100	1	33.5	0
hoxY|43	1	73	1	73	100	1	34	3
fabF2|30	1	72	1	71	98.6111	0.986111	33.5	3
hoxF|294	1	72	1	72	100	1	29.5	24
hoxF|28	1	71	1	71	100	1	32.5	23
hoxF|82	1	75	1	75	100	1	30.3	0
sll1384|72	1	73	1	73	100	1	34.2	23
sll1384|50	1	75	1	73	97.3333	0.973333	33.7	8
sll1386|124	1	74	1	74	100	1	32.3	3
hoxH|24	1	72	1	72	100	1	33.2	0
sll1380|95	1	71	1	71	100	1	30.3	23
sll1381|16	1	73	1	71	97.2603	0.972603	32.8	3
sll1381|298	1	74	1	74	100	1	30.3	23
ssl1507|150	1	74	1	73	98.6486	0.986486	34.4	3
sll1446|32	1	74	6	74	100	1	33	4.83
leuD|65	1	71	1	71	100	6	33	39
leuD|130	1	73	1	73	100	1	30	0
sll1442|58	1	76	1	76	100	1	32.2	0
ssr1375|95	1	71	3	71	100	1	33.4	2.67
sll1262|139	1	71	1	71	100	3	34	0
slr1468|118	1	72	1	72	100	1	31.5	8
sll0818|164	1	72	3	71	98.6111	0.986111	32.5	13
sll0816|22	1	74	4	74	100	3	31.4	11.8
sll0816|40	1	72	1	72	100	4	31.6	0
sll0815|55	1	74	1	74	100	1	30.8	0
sll0814|169	1	74	1	73	98.6486	0.986486	34	0
sll0812|91	1	71	2	71	100	1.98592	32.7	4.5
sll0810|443	1	76	1	76	100	1	30.5	24
slr1272|139	1	72	1	72	100	1	33.7	24
slr1273|266	1	75	1	75	100	1	30.7	18
slr1270|132	1	75	1	75	100	1	32.4	8
sll1178|32	1	76	1	76	100	1	30.1	0
gspD|228	1	74	1	74	100	1	31.8	24
slr1275|76	1	75	1	73	97.3333	0.973333	33.8	33
sll1220|31	1	75	2	75	100	1	32.9	11.5
sll1220|4	1	76	1	76	100	1.98684	32.8	3
sll1229|5	1	71	1	71	100	1	32.1	3
desA|7	1	71	3	71	100	1	33.6	8
desA|39	1	71	1	71	100	3	32.1	8
desA|94	1	75	5	75	100	1	32.3	6.2
desA|56	1	72	5	72	100	4.97222	33.5	13.2
desA|18	1	73	1	73	100	4.9863	32.9	0
desB|111	1	75	1	75	100	1	31	0
desB|71	1	72	1	71	98.6111	0.986111	32.3	8
desB|184	1	75	1	72	96	0.96	32.2	0
cytM|49	1	73	2	73	100	1	34	15.5
hlyD|103	1	72	2	72	100	1.98611	33.1	4
slr1534|155	1	74	1	74	100	2	32.1	8
ctaC2|94	1	76	2	74	97.3684	0.973684	32.1	16
ctaC2|106	1	73	1	73	100	2	33.6	0
slr1530|6	1	75	1	75	100	1	32.5	23
slr1530|165	1	71	1	67	94.3662	0.943662	33.7	24
melB|116	1	76	1	75	98.6842	0.986842	32	8
melB|16	1	75	1	75	100	1	32.1	24
psaF|23	1	73	1	73	100	1	33.2	42
psaF|90	1	75	1	75	100	1	32.1	0
sll0802|277	1	76	1	76	100	1	30.9	16
sll0803|243	1	75	1	73	97.3333	0.973333	32.9	8
sll0803|163	1	75	1	75	100	1	32.3	8
entC|4	1	75	1	74	98.6667	0.986667	31.7	23
sll1222|46	1	72	1	72	100	1	33.2	24
slr1287|58	1	73	4	73	100	1	32.8	23.8
slr1287|10	1	76	2	76	100	3.96053	30.8	8
slr1287|106	1	74	6	74	100	2	31.1	13.3
slr1287|46	1	73	2	73	100	5.9726	33.2	23
slr1285|62	1	74	1	74	100	2	30.9	3
slr1285|90	1	74	5	74	100	1	32.4	14.8
slr1285|43	1	75	2	75	100	4.94667	32.4	15.5
mrcA|124	1	74	1	74	100	2	32.4	8
mrcA|7	1	75	1	74	98.6667	0.986667	32.9	3
mrcA|68	1	74	1	74	100	1	30.7	8
mrcA|34	1	71	1	71	100	1	33.5	0
sll1232|51	1	75	1	74	98.6667	0.986667	32.9	24
sll1233|127	1	72	1	71	98.6111	0.986111	33.5	8
sll1233|48	1	75	1	75	100	1	31.7	5
sll1102|140	1	73	1	73	100	1	32.5	3
slr1969|144	1	75	1	75	100	1	31.4	0
slr1969|129	1	73	1	73	100	1	33	23
ymxG|46	1	72	1	71	98.6111	0.986111	33.4	8
ymxG|89	1	73	5	73	100	1	33.1	7
ymxG|72	1	73	1	73	100	4.9863	33	40
cfxE|149	1	75	7	74	98.6667	0.986667	31.5	34.4
cfxE|133	1	76	1	76	100	6.98684	31.8	23
ssl3573|63	1	76	1	76	100	1	32.7	8
ssl1520|109	1	76	3	75	98.6842	0.986842	32.5	11.3
ssl1520|47	1	73	1	73	100	2.9863	33.5	8
cbaB|65	1	75	1	74	98.6667	0.986667	33.1	0
cbaB|142	1	72	2	72	100	1	33.4	12
slr1343|118	1	72	2	72	100	1.97222	31.7	0
slr1958|10	1	75	2	75	100	1.97333	32.5	13.5
slr0820|265	1	71	1	71	100	2	32.6	23
slr0822|85	1	75	1	75	100	1	31.8	3
slr0822|25	1	72	1	72	100	1	32	8
slr1529|109	1	73	1	73	100	1	32.8	24
slr1957|126	1	72	3	72	100	1	30.2	17
slr1956|8	1	75	1	75	100	3	31.4	23
slr1956|125	1	74	1	73	98.6486	0.986486	33.5	3
rps12|81	1	73	1	73	100	1	32.5	23
slr1353|43	1	75	1	74	98.6667	0.986667	31.5	8
sll1170|84	1	73	1	73	100	1	33.4	8
ssl3549|97	1	73	1	73	100	1	33.5	0
act|30	1	75	2	74	98.6667	0.986667	32.3	16
act|106	1	73	1	73	100	1.9863	30.5	8
act|8	1	75	1	75	100	1	32.6	0
slr0816|24	1	75	1	74	98.6667	0.986667	32.8	3
slr0810|124	1	71	1	71	100	1	32.6	3
slr0810|44	1	71	1	71	100	1	32.8	23
slr0813|134	1	74	1	73	98.6486	0.986486	30.8	42
slr0812|117	1	74	1	74	100	1	32.2	23
slr0812|82	1	76	1	76	100	1	32	0
slr0812|65	1	76	1	75	98.6842	0.986842	32.6	0
sll1263|16	1	74	1	73	98.6486	0.986486	33.2	0
sll1263|79	1	71	1	71	100	1	32.9	3
slr0818|130	1	73	1	72	98.6301	0.986301	33.2	23
slr0818|169	1	71	1	71	100	1	32.1	27
pgi|68	1	76	2	75	98.6842	0.986842	32.4	23.5
fus2|161	1	76	5	76	100	1.98684	32.1	27.6
fus2|70	1	75	6	75	100	5	31.6	31.5
fus2|184	1	76	1	76	100	5.98684	32.4	8
lytR|55	1	72	1	71	98.6111	0.986111	33.5	8
lytR|154	1	72	1	72	100	1	33.6	8
slr1342|68	1	74	1	74	100	1	28.5	3
slr1342|163	1	73	1	73	100	1	29.9	8
ssr1391|45	1	71	1	71	100	1	33.5	8
sll1884|64	1	73	1	73	100	1	33.4	26
slr1344|85	1	72	2	72	100	1	33.8	17
petC2|136	1	76	2	76	100	2	31.2	4
sll1377|75	1	72	1	72	100	2	33.2	24
sll1095|94	1	72	1	72	100	1	33.7	0
ssr3341|109	1	75	1	75	100	1	32.3	3
sll1252|65	1	71	1	71	100	1	34.1	0
sll1217|72	1	73	1	72	98.6301	0.986301	31.8	0
sll1217|35	1	73	1	72	98.6301	0.986301	34.2	0
sll1217|88	1	73	1	72	98.6301	0.986301	33.1	23
sll1389|242	1	71	1	71	100	1	32.9	23
slr1975|115	1	72	2	72	100	1	33.1	13
sll1242|21	1	74	2	74	100	2	31.9	1.5
slr0806|82	1	73	2	73	100	2	33.6	5.5
