file_name	sgRNA	numreads
Example_S1_L001_R1	chlD|124	2
Example_S1_L001_R1	sll0217|38	1
Example_S1_L001_R1	sll0217|21	1
Example_S1_L001_R1	sll0217|76	1
Example_S1_L001_R1	sll0216|95	2
Example_S1_L001_R1	sll0216|23	1
Example_S1_L001_R1	sll1658|195	1
Example_S1_L001_R1	pcrR|768	1
Example_S1_L001_R1	pcrR|494	1
Example_S1_L001_R1	slr1411|81	2
Example_S1_L001_R1	ppiB|76	3
Example_S1_L001_R1	sll1663|10	3
Example_S1_L001_R1	sll1660|15	1
Example_S1_L001_R1	sll1660|95	1
Example_S1_L001_R1	sll1665|55	3
Example_S1_L001_R1	sll1664|151	1
Example_S1_L001_R1	slr1104|112	1
Example_S1_L001_R1	slr1104|73	1
Example_S1_L001_R1	slr1104|101	2
Example_S1_L001_R1	slr1417|142	1
Example_S1_L001_R1	slr1417|52	1
Example_S1_L001_R1	slr1417|35	3
Example_S1_L001_R1	slr1414|25	1
Example_S1_L001_R1	sll0696|55	1
Example_S1_L001_R1	sll0696|108	1
Example_S1_L001_R1	sll0696|120	1
Example_S1_L001_R1	slr0612|109	1
Example_S1_L001_R1	slr0612|140	1
Example_S1_L001_R1	slr0612|73	1
Example_S1_L001_R1	slr0612|43	1
Example_S1_L001_R1	slr1102|3	4
Example_S1_L001_R1	slr1102|22	1
Example_S1_L001_R1	dfr|80	3
Example_S1_L001_R1	sll1052|61	1
Example_S1_L001_R1	sll1054|7	1
Example_S1_L001_R1	slr1094|104	1
Example_S1_L001_R1	xerC|144	1
Example_S1_L001_R1	sgl0002|46	4
Example_S1_L001_R1	sll1214|94	1
Example_S1_L001_R1	sll1214|10	1
Example_S1_L001_R1	sll1214|61	1
Example_S1_L001_R1	sll1214|38	1
Example_S1_L001_R1	phoU|33	1
Example_S1_L001_R1	sds|147	1
Example_S1_L001_R1	sds|90	2
Example_S1_L001_R1	sll1053|136	5
Example_S1_L001_R1	sll1053|178	2
Example_S1_L001_R1	sll1053|84	1
Example_S1_L001_R1	sll1053|9	1
Example_S1_L001_R1	sll1401|399	2
Example_S1_L001_R1	sll1401|572	1
Example_S1_L001_R1	sll1400|111	2
Example_S1_L001_R1	sll1407|138	2
Example_S1_L001_R1	infB|115	1
Example_S1_L001_R1	infB|127	1
Example_S1_L001_R1	sll1405|118	1
Example_S1_L001_R1	sll1405|33	1
Example_S1_L001_R1	msrA|45	22
Example_S1_L001_R1	phoA|135	1
Example_S1_L001_R1	phoA|87	2
Example_S1_L001_R1	nifS|25	1
Example_S1_L001_R1	nifS|11	1
Example_S1_L001_R1	sll1659|25	1
Example_S1_L001_R1	sll1659|43	1
Example_S1_L001_R1	ycf10|6	1
Example_S1_L001_R1	ank|182	1
Example_S1_L001_R1	me|8	2
Example_S1_L001_R1	sll1672|197	2
Example_S1_L001_R1	sll1673|379	2
Example_S1_L001_R1	sll1673|115	1
Example_S1_L001_R1	sll1673|186	1
Example_S1_L001_R1	sll1675|21	1
Example_S1_L001_R1	fhuA2|454	1
Example_S1_L001_R1	sll1678|245	2
